OBJECTID,STRATUMA,Shape_Length,Shape_Area,CenterX,CenterY,AreaSQkm
12893,01120,8027.738255274202900,3933732.590354742000000,-69.078191157853425,40.186106643099059,3.933732590354742
12894,01110,14816.000000014901000,13719616.000027597000000,-69.024757584359293,40.193437012480338,13.719616000027598
12895,01110,14816.000000000000000,13719616.000000000000000,-68.981187116208687,40.192288393727495,13.719616000000000
12896,01110,14816.000000007451000,13719616.000013798000000,-68.937618083876202,40.191124011978069,13.719616000013799
12897,01110,14816.000000014901000,13719616.000027597000000,-68.894050506859358,40.189943868030724,13.719616000027598
12898,01110,14816.000000000000000,13719616.000000000000000,-68.850484404651894,40.188747962694833,13.719616000000000
12899,01140,10015.215127580555000,4759113.931744777600000,-68.792745612457566,40.188282973035392,4.759113931744778
12900,01110,12283.947084785195000,8960502.068282820300000,-68.814448176658516,40.187141051932493,8.960502068282821
12901,01140,14816.000000007451000,13719616.000013798000000,-68.763356702619944,40.186308871148533,13.719616000013799
12902,01140,14816.000000000000000,13719616.000000000000000,-68.719795141762773,40.185065686610450,13.719616000000000
12903,01140,14816.000000014901000,13719616.000027597000000,-68.676235133649485,40.183806744028487,13.719616000027598
12904,01140,14816.000000000000000,13719616.000000000000000,-68.632676697753411,40.182532044265564,13.719616000000000
12905,01140,13810.475873963640000,12305659.324206227000000,-68.591349450605932,40.181409812144729,12.305659324206227
12906,01150,8503.824197726055000,1413956.675807572000000,-68.569715733566952,40.179782205755842,1.413956675807572
12907,01150,11328.679405336532000,6929971.246099866900000,-68.556332611952456,40.179966066671696,6.929971246099867
12908,01150,4666.947187452433400,897173.353668349560000,-68.486225370511903,40.191636089683605,0.897173353668350
12909,01150,11536.170405753372000,7572049.755491936600000,-68.455083466770972,40.184083523142924,7.572049755491936
12910,01150,11906.753276755906000,8889704.857949951700000,-68.416225905948991,40.181619551094990,8.889704857949951
12911,01150,9292.539126151221400,3047041.624866472100000,-68.375229247001144,40.187120411340842,3.047041624866472
12912,01150,273.709292083192620,3031.062795016729100,-68.348315270338048,40.190288209865152,0.003031062795017
12913,03120,9616.045137025657800,3754341.017089026000000,-73.984610922578128,40.253163215857604,3.754341017089026
12914,03130,7018.208573149901000,944945.370734397090000,-73.977386604349604,40.247655621525929,0.944945370734397
12915,03120,1156.564123156603000,31047.834777515011000,-73.975188942852554,40.269694970518529,0.031047834777515
12916,03130,14705.974695044693000,13688568.165208686000000,-73.953428994151878,40.254824781411955,13.688568165208686
12917,03130,8380.183400615382200,1847612.266478352700000,-73.928372796686915,40.258923378515654,1.847612266478353
12918,03140,13977.513320627886000,11872003.733528547000000,-73.906968435811137,40.254960442779236,11.872003733528548
12919,03140,14815.999999992549000,13719615.999986202000000,-73.866223000483345,40.256113354352365,13.719615999986202
12920,01010,13101.208514227095000,10653524.149842720000000,-73.817719516273598,40.256768916431298,10.653524149842720
12921,03140,9129.769431060676700,3066091.850164178800000,-73.839532048966277,40.256540452558454,3.066091850164179
12922,01010,14815.999999985099000,13719615.999972403000000,-73.778964723717991,40.257305163728375,13.719615999972403
12923,01010,14792.290238885591000,13718769.667702608000000,-73.735335799318150,40.257876363899250,13.718769667702608
12924,03140,142.782087648669260,846.332297391645970,-73.714019472284505,40.274652187306266,0.000846332297392
12925,01010,13443.897075755127000,8660145.257884664500000,-73.694403901502739,40.252819033512701,8.660145257884665
12926,03140,10206.351494727260000,5059470.742108437200000,-73.687081641455762,40.268043945871369,5.059470742108437
12927,01010,11451.834425841918000,6710192.534220513000000,-73.646848860117402,40.250555637060842,6.710192534220513
12928,03110,10345.591271135223000,6312493.664078361400000,-73.647167822728690,40.267106805829812,6.312493664078361
12929,03140,4763.445870581277600,696929.801687326980000,-73.668035415296202,40.266367897314502,0.696929801687327
12930,01010,13826.427555899785000,11924576.478669625000000,-73.602501468917580,40.257710580584970,11.924576478669625
12931,03110,6291.036317161932900,1795039.521337274000000,-73.617313594661752,40.271384127961497,1.795039521337274
12932,01010,14815.999999992549000,13719615.999986202000000,-73.560806742708152,40.260008312916376,13.719615999986202
12933,01010,14816.000000003725000,13719616.000006899000000,-73.517173196907336,40.260501561308097,13.719616000006900
12934,01010,14815.999999985099000,13719615.999972403000000,-73.473539047071441,40.260979015065800,13.719615999972403
12935,01010,14816.000000003725000,13719616.000006899000000,-73.429904312845693,40.261440673860363,13.719616000006900
12936,01010,14815.999999992549000,13719615.999986202000000,-73.386269013876969,40.261886537373513,13.719615999986202
12937,01010,14815.999999992549000,13719615.999986202000000,-73.342633169813695,40.262316605297855,13.719615999986202
12938,01010,14815.999999996275000,13719615.999993101000000,-73.298996800305687,40.262730877336878,13.719615999993101
12939,01010,14816.000000000000000,13719616.000000000000000,-73.255359925004214,40.263129353204953,13.719616000000000
12940,01010,14816.000000003725000,13719616.000006899000000,-73.211722563561935,40.263512032627332,13.719616000006900
12941,01010,14815.999999985099000,13719615.999972403000000,-73.168084735632860,40.263878915340150,13.719615999972403
12942,01010,14816.000000003725000,13719616.000006899000000,-73.124446460872178,40.264230001090425,13.719616000006900
12943,01010,14815.999999992549000,13719615.999986202000000,-73.080807758936274,40.264565289636046,13.719615999986202
12944,01010,14815.999999992549000,13719615.999986202000000,-73.037168649482837,40.264884780745803,13.719615999986202
12945,01010,14815.999999996275000,13719615.999993101000000,-72.993529152170453,40.265188474199363,13.719615999993101
12946,01010,14816.000000000000000,13719616.000000000000000,-72.949889286658887,40.265476369787294,13.719616000000000
12947,01010,14815.999999996275000,13719615.999993101000000,-72.906249072608873,40.265748467311042,13.719615999993101
12948,01010,14815.999999992549000,13719615.999986202000000,-72.862608529682106,40.266004766582945,13.719615999986202
12949,01010,14816.000000003725000,13719616.000006899000000,-72.818967677541110,40.266245267426243,13.719616000006900
12950,01010,14815.999999992549000,13719615.999986202000000,-72.775326535849302,40.266469969675050,13.719615999986202
12951,01010,14816.000000003725000,13719616.000006899000000,-72.731685124270868,40.266678873174399,13.719616000006900
12952,01010,13881.265682274550000,11898184.147855153000000,-72.690369874217467,40.268425195243694,11.898184147855153
12953,01020,6029.393199941218000,1821431.852117249500000,-72.672845065963202,40.256728306168831,1.821431852117250
12954,01010,9951.855737950252700,3865206.245935393000000,-72.648304485137928,40.278534837928554,3.865206245935393
12955,01020,12839.800975516038000,9854409.754064608400000,-72.642870650187888,40.262544110390586,9.854409754064609
12956,01010,8535.447274809303100,1521612.139584431900000,-72.599480241218856,40.281942357124109,1.521612139584432
12957,01020,13851.509882779390000,12198003.860408669000000,-72.600919010381247,40.265373412038116,12.198003860408669
12958,01010,8558.678968263615400,2235340.394144423800000,-72.557391624371348,40.281272136084937,2.235340394144424
12959,01020,13702.418996451250000,11484275.605841778000000,-72.557063747765213,40.264648020867547,11.484275605841779
12960,01010,8378.235083232346400,2057216.203936428800000,-72.514696678112244,40.281579670663753,2.057216203936429
12961,01020,13919.404268848424000,11662399.796070471000000,-72.513259162190565,40.265000543120294,11.662399796070471
12962,01010,4469.553384507657000,351158.009436004100000,-72.484337423743568,40.283084013601190,0.351158009436004
12963,01020,14491.037765203626000,13368457.990550198000000,-72.469451056817476,40.267194311145225,13.368457990550198
12964,01020,14816.000000003725000,13719616.000006899000000,-72.426189338327248,40.267698821954085,13.719616000006900
12965,01020,14815.999999985099000,13719615.999972403000000,-72.382546475642684,40.267781331185724,13.719615999972403
12966,01020,14816.000000003725000,13719616.000006899000000,-72.338903520075590,40.267848040763347,13.719616000006900
12967,01020,14815.999999992549000,13719615.999986202000000,-72.295260491294997,40.267898950640941,13.719615999986202
12968,01020,14815.999999992549000,13719615.999986202000000,-72.251617408970276,40.267934060783382,13.719615999986202
12969,01020,14815.999999996275000,13719615.999993101000000,-72.207974292770785,40.267953371166463,13.719615999993101
12970,01020,14816.000000000000000,13719616.000000000000000,-72.164331162366040,40.267956881776854,13.719616000000000
12971,01020,14815.999999988824000,13719615.999979302000000,-72.120688037425651,40.267944592612132,13.719615999979302
12972,01020,14816.000000007451000,13719616.000013798000000,-72.077044937619107,40.267916503680773,13.719616000013799
12973,01060,12810.369976458722000,8368058.086534909000000,-72.026477785193748,40.271189500679903,8.368058086534909
12974,01020,11182.495208458624000,5351557.913444392400000,-72.044230151752259,40.262686673273940,5.351557913444393
12975,01060,14816.000000007451000,13719616.000013798000000,-71.989758892085419,40.267812926606567,13.719616000013799
12976,01060,14815.999999988824000,13719615.999979302000000,-71.946115985696807,40.267737438535171,13.719615999979302
12977,01060,14815.999999992549000,13719615.999986202000000,-71.902473183119071,40.267646150840037,13.719615999986202
