                      Estimate   Std. Error
Omegainput1_s    -9.902900e-01 1.716521e+00
Omegainput1_s     2.276318e+00 1.647382e+00
Omegainput1_s     2.152551e+00 1.926013e+00
Omegainput1_s    -1.220077e+00 1.494362e+00
Omegainput1_s     6.651788e-01 1.737908e+00
Omegainput1_s     3.500421e-01 1.753266e+00
Omegainput1_s     6.280038e+00 2.611972e+00
Omegainput1_s     9.138215e-01 1.703027e+00
Omegainput1_s     1.664143e+00 1.826088e+00
Omegainput1_s    -1.221122e+00 1.958233e+00
Omegainput1_s    -1.048084e+00 1.999210e+00
Omegainput1_s    -2.290427e+00 1.785766e+00
Omegainput1_s    -7.203418e+00 2.444185e+00
Omegainput1_s     1.621070e+00 1.778115e+00
Omegainput1_s    -8.771837e+00 2.810676e+00
Omegainput1_s     2.656381e+00 1.809867e+00
Omegainput1_s    -2.603685e+00 1.899528e+00
Omegainput1_s    -8.513372e+00 2.860805e+00
Omegainput1_s     1.847772e+00 2.305882e+00
Omegainput1_s     6.761045e+00 2.535677e+00
Omegainput1_s     2.636155e+00 2.093072e+00
Omegainput1_s     3.073332e+00 1.804463e+00
Omegainput1_s    -4.258514e+00 1.907448e+00
Omegainput1_s    -1.435267e+00 1.792314e+00
Omegainput1_s     1.110047e-01 2.017736e+00
Omegainput1_s     3.895355e+00 2.048675e+00
Omegainput1_s     4.595335e+00 2.477817e+00
Omegainput1_s     6.210163e+00 2.100338e+00
Omegainput1_s     1.234665e-01 1.878573e+00
Omegainput1_s    -3.374658e+00 1.799503e+00
Omegainput1_s    -2.812086e+00 1.915030e+00
Omegainput1_s     3.942307e+00 2.135800e+00
Omegainput1_s    -1.212530e+00 1.885358e+00
Omegainput1_s    -3.392344e+00 1.894325e+00
Omegainput1_s     1.807449e+00 1.722512e+00
Omegainput1_s     4.182168e+00 2.170967e+00
Omegainput1_s    -1.158011e+00 2.038590e+00
Omegainput1_s     6.192212e-01 1.753852e+00
Omegainput1_s    -6.071052e+00 2.263499e+00
Omegainput1_s     1.362883e-01 1.980774e+00
Omegainput1_s     4.831517e-01 1.678069e+00
Omegainput1_s    -7.554545e+00 2.299391e+00
Omegainput1_s    -5.434371e+00 2.063225e+00
Omegainput1_s    -7.899386e-01 1.839755e+00
Omegainput1_s     4.049931e-02 1.685727e+00
Omegainput1_s     1.284889e+00 1.724612e+00
Omegainput1_s     3.172271e-02 1.620625e+00
Omegainput1_s    -2.137597e+00 1.823247e+00
Omegainput1_s     1.240148e+00 1.790594e+00
Omegainput1_s    -7.976735e+00 2.950097e+00
Omegainput1_s     3.368768e+00 1.877213e+00
Omegainput1_s    -2.704047e+00 1.867481e+00
Omegainput1_s    -3.983227e+00 2.097549e+00
Omegainput1_s    -6.735862e+00 2.418739e+00
Omegainput1_s     4.195745e+00 1.952567e+00
Omegainput1_s     1.495805e+00 1.675451e+00
Omegainput1_s    -3.710393e-01 1.724133e+00
Omegainput1_s     2.731072e+00 1.949059e+00
Omegainput1_s     3.751983e-01 1.747096e+00
Omegainput1_s    -3.344894e+00 1.969701e+00
Omegainput1_s     1.885118e-02 1.847991e+00
Omegainput1_s     5.528991e+00 2.493104e+00
Omegainput1_s     4.129734e+00 2.192299e+00
Omegainput1_s     4.775881e+00 1.872731e+00
Omegainput1_s     3.609219e+00 1.972221e+00
Omegainput1_s     2.677043e+00 1.825875e+00
Omegainput1_s    -5.293115e-01 1.890459e+00
Omegainput1_s    -2.105861e+00 1.967280e+00
Omegainput1_s     1.281177e+00 1.637934e+00
Omegainput1_s    -3.975164e+00 2.021055e+00
Omegainput1_s    -7.941718e+00 2.484286e+00
Omegainput1_s     2.862510e+00 2.292509e+00
Omegainput1_s     4.184185e+00 1.901020e+00
Omegainput1_s    -2.295605e-01 1.921856e+00
Omegainput1_s    -6.896335e+00 2.574296e+00
Omegainput1_s    -1.865563e+00 1.965724e+00
Omegainput1_s    -2.635326e+00 1.843551e+00
Omegainput1_s     3.037639e+00 2.167878e+00
Omegainput1_s    -2.824717e-01 1.865268e+00
Omegainput1_s    -1.023550e+00 1.786960e+00
Omegainput1_s     6.989905e-01 1.859895e+00
Omegainput1_s    -1.689288e+00 1.836242e+00
Omegainput1_s    -5.146995e-01 2.082656e+00
Omegainput1_s     1.716553e+00 1.783526e+00
Omegainput1_s     4.885129e-01 1.730450e+00
Omegainput1_s    -3.286368e+00 2.029885e+00
Omegainput1_s    -4.954323e+00 2.100629e+00
Omegainput1_s    -6.736031e+00 2.504018e+00
Omegainput1_s    -7.359617e+00 2.626554e+00
Omegainput1_s     2.108504e+00 2.007951e+00
Omegainput1_s     3.791149e+00 2.110035e+00
Omegainput1_s     2.035406e+00 1.839755e+00
Omegainput1_s    -1.290361e-01 1.836228e+00
Omegainput1_s    -1.380252e+00 2.017125e+00
Omegainput1_s    -1.170196e+00 1.601471e+00
Omegainput1_s    -6.263538e-02 6.323609e+00
Omegainput1_s     1.491507e+00 6.065378e+00
Omegainput1_s     7.859880e-01 6.995593e+00
Omegainput1_s     5.148837e-01 7.059139e+00
Omegainput1_s     4.626487e-01 7.121291e+00
Omegainput1_s    -3.991724e-01 4.112493e+00
Omegainput1_s     2.557780e-01 2.923101e+00
Omegainput1_s     2.585822e+00 5.251566e+00
Omegainput1_s     1.914464e+00 6.554166e+00
Omegainput1_s    -2.970309e-01 5.447565e+00
Omegainput1_s    -2.459992e+00 6.869252e+00
Omegainput1_s    -1.950285e+00 7.052750e+00
Omegainput1_s    -1.247725e+00 7.100305e+00
Omegainput1_s    -6.221727e-02 3.469473e+00
Omegainput1_s    -4.079525e-01 3.436272e+00
Omegainput1_s    -2.773573e+00 5.604363e+00
Epsiloninput1_st -5.504854e+00 4.619381e+00
Epsiloninput1_st  3.288559e+00 4.943213e+00
Epsiloninput1_st  2.940554e-02 5.001864e+00
Epsiloninput1_st  2.524474e+00 4.045014e+00
Epsiloninput1_st -1.714208e+00 5.178802e+00
Epsiloninput1_st  3.331805e+00 5.046243e+00
Epsiloninput1_st  1.600055e-01 5.309867e+00
