"FID_1,N,9,0","Id,N,6,0","FID_2,N,9,0","AREA,N,13,11","PERIMETER,N,13,11","AREA_KM2,N,19,11","PERIMETER_,N,19,11","STRATUM,N,14,0","STATION,C,8","LONGITUDE,N,19,11","LATITUDE,N,19,11"
118873,0,6471,3291210,7908.42,3.29119275,7.9084321289,150,404-125,-136.586102093,57.6780938332
117989,0,6472,25099200,20065.3,25.099186,20.0653007812,530,266-148,-148.057754098,58.7164483311
117990,0,6472,25099200,20065.3,25.099186,20.0653007812,530,266-148,-147.99387787,58.7134711989
118690,0,6472,25099200,20065.3,25.099186,20.0653007812,530,266-148,-147.98808012,58.74647481
117948,0,6476,25112500,20073.8,25.112522,20.0737890625,131,234-150,-150.684835297,58.8110870665
117988,0,6477,21093800,19240.7,21.093728,19.2406835937,530,265-148,-148.121641352,58.719393708
117947,0,6478,25270400,20133.5,25.270472,20.1335371094,131,233-150,-150.749073992,58.8127245598
117946,0,6481,25117100,20075.5,25.117174,20.0755488281,131,232-150,-150.813318777,58.8143300349
118173,0,6482,6734960,14895.1,6.734904,14.8951542969,351,404-125,-136.602225237,57.646060321
117944,0,6488,25112400,20073.8,25.112502,20.07378125,131,231-150,-150.941826134,58.8174449127
117945,0,6488,25112400,20073.8,25.112502,20.07378125,131,231-150,-150.87756953,58.8159034873
117987,0,6489,18923600,17371.7,18.923772,17.3718085938,330,264-148,-148.185539517,58.7223073217
117970,0,6490,22073300,18791.5,22.07337,18.7915136719,131,251-149,-149.273365211,58.766971628
117971,0,6491,20119400,17844.9,20.119402,17.8449160156,131,252-149,-149.209299339,58.7645991324
117972,0,6491,20119400,17844.9,20.119402,17.8449160156,131,252-149,-149.145242399,58.7621947505
117967,0,6495,11774500,14726.4,11.774414,14.7263769531,230,249-149,-149.465615236,58.773897732
117943,0,6497,16349100,16758.9,16.349096,16.7588984375,132,230-150,-151.006088468,58.8189543069
118171,0,6498,14305400,16676.3,14.305355,16.6763867187,450,403-125,-136.722436835,57.6631815049
118172,0,6498,14305400,16676.3,14.305355,16.6763867187,450,403-125,-136.662316503,57.654635446
117985,0,6499,25099200,20065.3,25.099176,20.065296875,330,263-148,-148.313368115,58.7280392275
117986,0,6499,25099200,20065.3,25.099176,20.065296875,330,263-148,-148.249448476,58.7251891641
117942,0,6501,25112600,20073.8,25.112558,20.0738027344,132,229-150,-151.070356413,58.8204316657
117966,0,6503,16806200,16389.7,16.806086,16.3896738281,230,248-149,-149.529715656,58.776142618
117940,0,6504,25117200,20075.6,25.117202,20.0755605469,132,228-150,-151.198908658,58.8232902611
117941,0,6504,25117200,20075.6,25.117202,20.0755605469,132,228-150,-151.13462985,58.8218769851
118177,0,6505,15472500,16717.7,15.472479,16.7176699219,150,407-124,-136.362152387,57.6114695653
118182,0,6506,12155300,25729,12.155204,25.7289550781,50,411-123,-136.062724522,57.5675795752
117984,0,6507,24493500,19455.1,24.493406,19.4550332031,330,262-148,-148.377298317,58.7308575041
117969,0,6508,19560200,17711.4,19.56002,17.7113828125,131,250-149,-149.337439895,58.7693122307
117939,0,6509,25270500,20133.6,25.270492,20.1335429688,132,227-150,-151.263192718,58.8246714897
117965,0,6510,17430500,16920.5,17.430482,16.9204414062,230,247-149,-149.593824419,58.7783555862
117938,0,6511,25112600,20073.8,25.112468,20.0737695313,132,226-150,-151.327481909,58.8260206673
117481,0,6513,25099900,20042.9,25.099972,20.0429765625,50,410-123,-136.139045467,57.5444396522
118181,0,6513,25099900,20042.9,25.099972,20.0429765625,50,410-123,-136.12255074,57.5764153791
117283,0,6514,20673000,18568.6,20.672938,18.5685761719,230,261-148,-148.446598758,58.7006204552
117983,0,6514,20673000,18568.6,20.672938,18.5685761719,230,261-148,-148.441238967,58.7336439863
117937,0,6515,25117100,20075.5,25.117198,20.0755585937,132,225-150,-151.391776113,58.82733779
117964,0,6516,17519300,16697.6,17.519304,16.697578125,230,246-149,-149.657941407,58.7805366303
117935,0,6518,25117000,20075.5,25.117106,20.0755234375,132,224-150,-151.520379077,58.8298758565
117936,0,6518,25117000,20075.5,25.117106,20.0755234375,132,224-150,-151.456075209,58.8286228543
117476,0,6519,25100500,20043.6,25.100316,20.043515625,150,406-124,-136.43837147,57.588146873
118175,0,6519,25100500,20043.6,25.100316,20.043515625,150,406-124,-136.482130217,57.6288229537
118176,0,6519,25100500,20043.6,25.100316,20.043515625,150,406-124,-136.422126615,57.6201607519
117282,0,6520,25099200,20065.3,25.099176,20.065296875,230,260-148,-148.510488644,58.7033725422
117982,0,6520,25099200,20065.3,25.099176,20.065296875,230,260-148,-148.505189949,58.7363986665
117962,0,6521,14683700,15732.9,14.683738,15.7328857422,230,245-149,-149.786199586,58.7848029228
117963,0,6521,14683700,15732.9,14.683738,15.7328857422,230,245-149,-149.722066502,58.7826857445
118170,0,6522,7102220,10873,7.1022245,10.8730576172,450,402-125,-136.782586156,57.6716984775
117934,0,6523,25117300,20075.6,25.117164,20.0755429688,132,223-150,-151.584687596,58.8310967934
117933,0,6525,25265800,20131.8,25.26582,20.1317753906,132,222-150,-151.649000648,58.8322856614
117961,0,6526,7570940,13201.5,7.570996,13.2016035156,230,244-149,-149.850340541,58.7868881595
117931,0,6528,25117000,20075.5,25.11715,20.0755390625,132,221-150,-151.777639867,58.834567178
117932,0,6528,25117000,20075.5,25.11715,20.0755390625,132,221-150,-151.713318112,58.8334424573
117280,0,6529,25103900,20067.1,25.103832,20.0670625,230,259-148,-148.638298858,58.7087813688
117281,0,6529,25103900,20067.1,25.103832,20.0670625,230,259-148,-148.574388716,58.7060928492
117980,0,6529,25103900,20067.1,25.103832,20.0670625,230,259-148,-148.633122442,58.7418125909
117981,0,6529,25103900,20067.1,25.103832,20.0670625,230,259-148,-148.569151146,58.7391215372
117968,0,6530,13343800,15367.3,13.34368,15.3673222656,131,249-149,-149.401523276,58.7716209341
117930,0,6531,25112400,20073.7,25.112554,20.0738007813,132,220-150,-151.841965793,58.8356598203
117960,0,6533,25060700,19878.2,25.060858,19.8782460938,131,243-149,-149.914489249,58.7889414489
117929,0,6534,25270400,20133.5,25.27045,20.1335273438,132,219-150,-151.906295771,58.8367203812
117979,0,6536,25103900,20067.1,25.103858,20.0670742188,230,258-148,-148.697103721,58.7444718204
117928,0,6537,25117200,20075.6,25.11717,20.075546875,132,218-150,-151.970629679,58.8377488578
117480,0,6538,25104400,20044.7,25.104466,20.0447402344,50,409-123,-136.19885162,57.5532389018
118180,0,6538,25104400,20044.7,25.104466,20.0447402344,50,409-123,-136.182406711,57.5852223006
117958,0,6539,25122700,20076.4,25.122752,20.0764296875,131,242-149,-150.042809449,58.7929521631
117959,0,6539,25122700,20076.4,25.122752,20.0764296875,131,242-149,-149.978645591,58.7909627852
117926,0,6542,25112600,20073.8,25.11253,20.0737929687,132,217-150,-152.099308805,58.8397095469
117927,0,6542,25112600,20073.8,25.11253,20.0737929687,132,217-150,-152.034967397,58.8387452473
117925,0,6544,25270500,20133.5,25.27047,20.1335351563,132,216-150,-152.163653782,58.8406417539
117475,0,6545,10394100,15184.3,10.394086,15.1842460938,150,405-124,-136.498324864,57.596801507
117978,0,6546,25099300,20065.4,25.099194,20.0653007812,230,257-148,-148.761094866,58.7470992185
117924,0,6548,25117300,20075.6,25.117202,20.0755605469,132,215-150,-152.228002208,58.8415418658
117474,0,6567,7103610,13863.7,7.103596,13.8636777344,351,405-124,-136.558307479,57.6054271567
117478,0,6569,22226100,18833.4,22.226114,18.8333769531,50,408-123,-136.318552648,57.5707507337
117479,0,6569,22226100,18833.4,22.226114,18.8333769531,50,408-123,-136.258687372,57.5620092691
