"PROJECT_CYCLE" "VESSEL" "BEST_DEPTH_TYPE" "BEST_LAT_DD" "BEST_LON_DD" "AREA_SWEPT_HA" "HAUL_WT_KG"
"Cycle 2004" "vessel_e" "Bottom Depth" 47.3297252655025 -124.704383850098 1.55183842046736 4.46427732108372
"Cycle 2003" "vessel_c" "Bottom Depth" 37.4566333333335 -122.926645833334 2.22606429611698 1.43505727509599
"Cycle 2003" "vessel_i" "Bottom Depth" 42.1872062683105 -124.574966430664 1.98577285732342 57.3567192473001
"Cycle 2003" "vessel_i" "Bottom Depth" 42.022737503052 -124.639835357666 1.47575388603895 17.7565363005928
"Cycle 2003" "vessel_e" "Bottom Depth" 39.8009872436525 -124.060634613037 1.61416282373035 12.287805525641
"Cycle 2004" "vessel_e" "Bottom Depth" 44.8043537139895 -124.620719909668 2.17898053538509 90.9317372509812
"Cycle 2011" "vessel_j" "Bottom Depth" 45.573394402985 -124.691435074627 2.40474672840612 32.7604442938815
"Cycle 2004" "vessel_e" "Bottom Depth" 41.2569666666665 -124.648516666666 2.33159539406719 104.309625066213
"Cycle 2011" "vessel_j" "Bottom Depth" 46.2393379166665 -124.561760833334 2.08797352774798 32.6321656200297
"Cycle 2011" "vessel_j" "Bottom Depth" 45.795038981954 -124.497929149615 1.32959972043706 1.06006830456942
"Cycle 2004" "vessel_e" "Bottom Depth" 39.509262084961 -123.957675933838 1.66738071432784 2.08897839986221
"Cycle 2004" "vessel_e" "Bottom Depth" 39.0772 -124.090833333334 1.87298081028511 7.08878152496351
"Cycle 2011" "vessel_j" "Bottom Depth" 45.6702058333335 -124.614990833333 1.85395244757523 1.15818424619287
"Cycle 2004" "vessel_e" "Bottom Depth" 38.1756896972655 -123.276653289795 1.98394967727189 0.419187560360892
"Cycle 2004" "vessel_e" "Bottom Depth" 36.9777202606205 -122.372634887695 1.83547106783958 0.125957735859734
"Cycle 2004" "vessel_e" "Bottom Depth" 38.0330410003665 -123.12366104126 2.19959172882291 0.766495237109091
"Cycle 2004" "vessel_e" "Bottom Depth" 36.756145477295 -121.927799224854 1.75163045872388 0.171790333838634
"Cycle 2011" "vessel_j" "Bottom Depth" 47.3497875 -124.944444583334 1.69444467630974 6.18144225703538
"Cycle 2004" "vessel_e" "Bottom Depth" 45.7825916666665 -124.3847375 1.8591856369557 4.52132355054147
"Cycle 2004" "vessel_e" "Bottom Depth" 35.2847061157225 -121.451602935791 1.87736758270464 23.3073187966327
"Cycle 2004" "vessel_e" "Bottom Depth" 44.967977523804 -124.559665679932 2.05765940298536 10.5381563123538
"Cycle 2004" "vessel_a" "Bottom Depth" 41.00345993042 -124.439254760742 2.06576384566287 52.8271905642975
"Cycle 2004" "vessel_a" "Bottom Depth" 40.93564414978 -124.573886871338 3.08730909543677 25.7807599300386
"Cycle 2005" "vessel_e" "Bottom Depth" 44.751430563957 -124.693393303472 1.45570803791269 2.55182724415096
"Cycle 2005" "vessel_e" "Bottom Depth" 33.343443399382 -118.02962612751 1.81476792520772 5.09740319948678
"Cycle 2004" "vessel_i" "Bottom Depth" 34.6221523284915 -121.075008392334 2.44344979696168 12.9389972290813
"Cycle 2004" "vessel_i" "Bottom Depth" 34.303155899048 -120.323528289795 2.05059899139388 1.08732215612117
"Cycle 2004" "vessel_i" "Bottom Depth" 48.0654333333335 -125.216925 1.18879919904665 15.6777301988932
"Cycle 2004" "vessel_i" "Bottom Depth" 46.4664 -124.535916666667 2.3336867679049 95.5966753518291
"Cycle 2004" "vessel_i" "Bottom Depth" 45.9956416666665 -124.202575 1.31459310401729 0.37986690211645
"Cycle 2005" "vessel_e" "Bottom Depth" 38.118432318966 -123.406500086421 1.66913933668323 8.26834502547501
"Cycle 2004" "vessel_i" "Bottom Depth" 44.5771675109865 -124.842929840088 1.70439539962435 5.93869106621357
"Cycle 2004" "vessel_a" "Bottom Depth" 47.3639240264895 -124.769687652588 1.62353305898585 9.13938092230583
"Cycle 2005" "vessel_e" "Bottom Depth" 35.9887949920785 -121.604092113354 1.87849097388105 25.9611396603419
"Cycle 2004" "vessel_i" "Bottom Depth" 42.334056854248 -124.785102844238 2.02690415640367 8.67307509124459
"Cycle 2004" "vessel_i" "Bottom Depth" 42.3506412506105 -124.646785736084 1.65249973015903 54.5874509376557
"Cycle 2005" "vessel_e" "Bottom Depth" 45.36075254077 -124.843561853813 2.03037600496847 36.3175484321596
"Cycle 2004" "vessel_a" "Bottom Depth" 44.7745 -124.2716375 1.76486432126448 0.258009445967554
"Cycle 2005" "vessel_e" "Bottom Depth" 35.2717690723625 -121.720573140192 1.93509610934029 1.86987964985631
"Cycle 2005" "vessel_e" "Bottom Depth" 34.6416458333335 -121.255187500001 2.18222822706899 13.1028534789048
"Cycle 2004" "vessel_i" "Bottom Depth" 41.800067901611 -124.515861511231 1.66985811794973 39.0978650130373
"Cycle 2004" "vessel_i" "Bottom Depth" 41.2401390075685 -124.668270111084 2.04987159815635 36.3433340030399
"Cycle 2004" "vessel_a" "Bottom Depth" 43.983596801758 -124.282546997071 1.77213119071196 1.21803975255251
